EnsemblGeneID	GeneType	GeneName	Description	EntrezGeneID	GeneLength	Cellline1_CON_CPM	Cellline1_DEX_CPM	Cellline2_CON_CPM	Cellline2_DEX_CPM	Cellline3_CON_CPM	Cellline3_DEX_CPM	Cellline1_DEX_CPM_logFC	Cellline2_DEX_CPM_logFC	Cellline3_DEX_CPM_logFC	DEX_CON_logFC	DEX_CON_PValue	DEX_CON_FDR
ENSG00000000003	protein_coding	TSPAN6	tetraspanin 6	7105	12882	5.03918064938508	4.62109665083554	5.67465297469234	5.39309574423864	5.38156400676781	5.01494890583279	-0.418083998549538	-0.281557230453698	-0.366615100935022	-0.354585106491088	1.31565268839624e-05	0.000211547610381535
ENSG00000000419	protein_coding	DPM1	dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit	8813	23688	5.28368404992146	5.45844039107708	5.54854440366401	5.66187978944505	5.91392017475915	5.85468171018207	0.174756341155622	0.113335385781043	-0.0592384645770823	0.0755675153137342	0.318490373462788	0.587395362513645
ENSG00000000457	protein_coding	SCYL3	SCY1-like 3 (S. cerevisiae)	57147	44636	2.98820049704493	3.0259502138146	2.97068143468498	3.00098944895228	2.7818033528374	2.7250426248418	0.0377497167696648	0.0303080142673049	-0.0567607279955999	0.00542162004225888	0.959740985703059	0.984671205372459
ENSG00000000460	protein_coding	C1orf112	chromosome 1 open reading frame 112	55732	192073	3.90451555611448	4.51349399424272	2.07271863066979	2.0042438270901	2.61607152612537	2.32463968864157	0.608978438128235	-0.0684748035796967	-0.291431837483798	0.111023797758107	0.483104829714291	0.728138129928019
ENSG00000000971	protein_coding	CFH	complement factor H	3075	95626	7.67996249389304	7.26980252602431	7.44210128921541	7.01931417057699	5.5735930858908	5.58005374683864	-0.410159967868732	-0.422787118638418	0.0064606609478437	-0.280713674348376	0.00132073626377268	0.0113288154140653
ENSG00000001036	protein_coding	FUCA2	fucosidase, alpha-L- 2, plasma	2519	16879	6.22097094841484	6.31991477218431	5.8090715628126	5.82321756927462	5.60131744741783	5.72048022398679	0.0989438237694751	0.0141460064620169	0.119162776568953	0.0773662995002231	0.2290535396056	0.487682956063714
ENSG00000001084	protein_coding	GCLC	glutamate-cysteine ligase, catalytic subunit	2729	119629	4.61090655353965	4.44161235587615	4.39198819830601	4.48135582570087	4.46751318011187	4.65389498008483	-0.169294197663506	0.089367627394866	0.186381799972969	0.0348584916833462	0.700324436504821	0.869372881928821
ENSG00000001167	protein_coding	NFYA	nuclear transcription factor Y, alpha	4800	27031	5.0916409731423	4.9813607033551	5.57928566912721	5.58270248421144	5.25166658578021	5.08473155013214	-0.110280269787201	0.00341681508422731	-0.166935035648071	-0.0902298831581192	0.270807864917595	0.534904831228991
ENSG00000001460	protein_coding	STPG1	sperm-tail PG-rich repeat containing 1	90529	59935	2.99103603876031	3.49904129495506	3.43904943985379	3.63907539921793	3.547539176825	3.85164534496749	0.508005256194745	0.200025959364141	0.304106168142489	0.336233135103496	0.0013700170296656	0.0116851358330612
ENSG00000001461	protein_coding	NIPAL3	NIPA-like domain containing 3	57185	57182	5.43659515352386	5.65008963844438	6.65810022965398	6.84599569047548	6.24288831048199	6.432237580871	0.21349448492052	0.187895460821501	0.189349270389005	0.196685002540857	0.00183098244912558	0.0149504558511233
