ID	Hexagon_index	Cluster_base
AFFX-HUMISGF3A/M97935_MA_at	305	10
AFFX-HUMISGF3A/M97935_MB_at	249	13
AFFX-HUMISGF3A/M97935_3_at	59	2
AFFX-HUMRGE/M10098_5_at	93	2
AFFX-HUMRGE/M10098_M_at	23	5
AFFX-HUMRGE/M10098_3_at	23	5
AFFX-HUMGAPDH/M33197_5_at	272	1
AFFX-HUMGAPDH/M33197_M_at	272	1
AFFX-HSAC07/X00351_5_at	272	1
AFFX-HSAC07/X00351_M_at	272	1
AFFX-HUMTFRR/M11507_5_at	201	4
AFFX-HUMTFRR/M11507_M_at	306	10
AFFX-HUMTFRR/M11507_3_at	202	9
AFFX-M27830_5_at	93	2
AFFX-M27830_M_at	170	1
AFFX-M27830_3_at	60	2
AFFX-HSAC07/X00351_3_st	129	1
AFFX-HUMGAPDH/M33197_M_st	250	13
AFFX-HUMGAPDH/M33197_3_st	5	4
AFFX-HSAC07/X00351_M_st	117	4
A28102_at	251	13
AB000115_at	152	13
AB000449_at	241	11
AB000464_at	65	2
AB000468_at	237	8
AB000584_at	304	10
AB001106_at	142	8
AB001325_at	63	2
AB002315_at	148	11
AB002318_at	38	2
AB002382_at	7	5
AB002559_at	215	2
AB003177_at	98	3
AC000061_cds2_at	80	4
AC000064_cds1_at	158	5
AC002073_cds1_at	247	10
AC002115_cds1_at	219	1
AC002115_rna2_at	320	5
AF000231_at	300	10
AF000560_at	50	13
AF000562_at	168	2
AF002224_at	13	4
AF002700_at	158	5
AF003743_at	199	13
AF006041_at	60	2
AF006084_at	267	2
AF006087_at	99	3
AF007875_at	145	12
AF008445_at	306	10
AF008937_at	55	4
AF009301_at	299	11
AF010193_at	152	13
AF014958_at	152	13
AF015910_at	90	2
AF015913_at	100	6
AJ000480_at	213	2
AJ001421_at	134	3
D00017_at	328	2
D00596_at	174	3
D00632_at	200	4
D00723_at	301	10
D00726_at	203	4
D00760_at	135	3
D00761_at	175	3
D00762_at	135	3
D00763_at	277	3
D10202_at	304	10
D10495_at	311	9
D10511_at	191	11
D10522_at	197	13
D10523_at	45	7
D10923_at	304	10
D10995_at	115	4
D11086_at	172	1
D11094_at	191	11
D11428_at	300	10
D13315_at	228	6
D13370_at	221	1
D13435_at	298	11
D13626_at	302	10
D13627_at	280	3
D13628_at	111	13
D13630_at	179	6
D13636_at	299	11
D13639_at	89	2
D13640_at	182	6
D13641_at	176	3
D13643_at	302	10
D13645_at	301	10
D13748_at	272	1
D13897_rna2_at	4	4
D13900_at	172	1
D13988_at	131	3
D14043_at	279	3
D14657_at	175	3
D14658_at	280	3
D14661_at	261	5
D14662_at	177	3
D14663_at	179	6
D14686_at	30	4
D14689_at	210	5
D14694_at	221	1
D14695_at	146	12
D14710_at	273	1
D14811_at	156	4
D14812_at	275	1
D14838_at	302	10
D14874_at	306	10
D14878_at	100	6
D14889_at	206	5
D15050_at	90	2
D15057_at	286	6
D16217_at	164	2
D16294_at	189	12
D16469_at	265	2
D16532_at	302	10
D16562_at	274	1
D16593_at	115	4
D17525_at	25	7
D17716_at	57	5
D21063_at	227	6
D21090_at	192	11
D21255_at	301	10
D21260_at	278	3
D21261_at	272	1
D21262_at	242	11
D21852_at	186	8
D23662_at	221	1
D25216_at	127	2
D25217_at	17	5
D25218_at	104	7
D25248_at	54	4
D25274_at	176	3
D25278_at	34	5
D25328_at	240	11
D25538_at	241	11
D25547_at	162	5
D26069_at	190	11
D26129_at	303	10
D26308_at	167	2
D26579_at	253	9
D26599_at	220	1
D28114_at	81	4
D28118_at	141	7
D28137_at	211	5
D28364_at	195	10
D28383_at	190	11
D28423_at	173	3
D28476_at	134	3
D28588_at	32	4
D28589_at	239	8
D28915_at	18	5
D29641_at	299	11
D29642_at	295	8
D29643_at	327	2
D29677_at	241	11
D30036_at	83	4
D30655_at	274	1
D30742_at	28	4
D30755_at	145	12
D30758_at	129	1
D31716_at	197	13
D31764_at	299	11
D31766_at	85	5
D31767_at	274	1
D31797_at	14	4
D31883_at	282	6
