"Cell_types"	"Human"	"Theria (Live birth Mammals)"	"Mammalia (Placental mammals, Marsupials and Monotremes)"	"Amniota (Four limbed vertebrates with terrestrial eggs)"	"Euteleostomi (Bony vertebrates)"	"Chordata (Have a notochord/spinal column)"	"Deuterostomia (Mouth comes second, after anus)"	"Coelomata (Body cavity forming)"	"Bilateria (Bilateral symmetry forming)"	"Eumetazoa (True tissue forming animals)"	"Opisthokonta (Animal-like and Fungi-like)"	"Eukaryota"	"Cellular organisms"
"acantholytic squamous carcinoma cell line"	-0.0507865101946453	0.657937778199868	0.0683131596828704	1.37502566319105	0.590189089879458	0.318329945559349	0.513769145570397	0.318266761515738	-0.111900504362433	0.0865841782687345	1.15159648801664	-0.156456786723355	-0.70674444973674
"acute lymphoblastic leukemia (b-all) cell line"	-1.05350030676015	-0.860681424819008	-0.550399266334574	0.356953557103185	-1.89136932266603	-1.41076685061676	-1.35737812356513	-1.73508620790942	-0.385404644459124	-1.44782946729231	-0.776411095938246	2.08790235931164	1.13239121045965
"acute lymphoblastic leukemia (t-all) cell line"	-0.800584582673652	-0.753896700163765	-0.831632673513404	0.895435887964496	-1.31461488381773	-1.88146959150526	-0.342913155385403	-0.359001450839896	-1.28493848354214	-0.644886037236231	0.693578341479963	1.34501100460025	0.387134335914658
"acute myeloid leukemia (fab m0) cell line"	-0.746801512249447	-0.728419190319073	2.44209278416663	0.854490715340086	-1.61528198856048	-1.32140225506915	-0.534241495235945	-0.744984086164973	-0.106613230777131	-1.02341963148158	-0.495831031138868	1.34481598449404	0.729090671289375
"acute myeloid leukemia (fab m1) cell line"	-0.945267008569919	0.564771686463969	1.74039092447729	1.01258485985483	-0.704698032548993	0.243222609398942	-0.109267688272455	0.134940004784113	-0.277786088013026	-0.35586335580951	0.728935349756839	0.238321509155171	-0.125133072204208
"acute myeloid leukemia (fab m2) cell line"	-1.42064543721205	-0.800877103866815	1.16294765655594	-0.0985398241370541	-1.96698712709901	-2.09141575098469	-1.98409387048205	-0.947357064408246	0.236308027845959	-1.88706503511354	0.125068410616384	1.74792609276982	1.16682235669063
"acute myeloid leukemia (fab m3) cell line"	-1.12279449381629	-0.738501155208506	-0.726798589106501	0.522910472261091	-1.62389036096127	-1.61843308927378	-0.867605742729704	-1.13195801617699	-0.634493743977086	-1.39430236831129	-0.411989902016538	1.74541893731447	0.92579331071153
"acute myeloid leukemia (fab m4) cell line"	-0.943668013430943	-1.01703374279385	-1.99953077674294	-0.808219102722875	-1.72119421590533	-0.925063214728652	-1.10899652306592	-0.929201881085365	0.572734220228542	-1.21958106015989	0.0948534881715903	1.46412838003145	0.964555398049913
"acute myeloid leukemia (fab m4eo) cell line"	-0.792221143467642	-0.436845963085574	-0.81389062478536	-0.508692019076563	-1.35488880352931	-1.72096225538513	-0.956877813431142	-0.453967666317413	-0.253135946515011	-1.00399808690056	0.309225977522558	1.60399524384571	0.563501803944356
"acute myeloid leukemia (fab m5) cell line"	-0.777855079883235	-0.700371315123103	0.774441969340688	-0.167597418410885	-1.44168114727823	-1.40293247208482	-0.606268649347436	-0.469362215880565	0.300857278778458	-1.26471194843928	0.0780206503598214	1.44950494059755	0.662804678172587
"acute myeloid leukemia (fab m6) cell line"	-2.1708860103648	-1.3762352936662	1.4166929372256	-0.125035516184935	-2.26491882246643	-1.89609763320614	-1.48875381490327	-1.37569321293419	-0.0342599992740012	-1.89691905621561	-1.24682568314841	1.87842165103941	1.61496877374683
"acute myeloid leukemia (fab m7) cell line"	-1.02736830801802	-1.00484357882052	1.17382675669312	0.415845625404666	-1.58548884545507	-1.33245243323319	-0.61860259256681	-1.00211033803602	-0.291468972336864	-0.264733116132829	-0.0885869083652281	1.60638558387102	0.579356342133419
"adenocarcinoma cell line"	-0.73726359476665	0.817720874528265	-0.0173503742178643	0.736246380349938	-0.434808750921138	0.0788172249900783	0.138390751266482	0.573393648899472	0.662730161162984	0.414701888877549	1.08175717593233	-0.189476960220888	-0.446753963373617
"adrenal cortex adenocarcinoma cell line"	-0.689378047602228	0.782944005062271	0.0987450932407226	1.83018922452603	-0.786677631037625	-0.269225349039008	1.11756195467565	0.74541385006743	0.380368509211986	0.222233692322889	0.23988373618131	0.0929259829615536	-0.423810905774814
"adult t-cell leukemia cell line"	-0.564610980302152	-0.166941165342261	0.401234922831753	0.50127984679263	-0.667265611513593	-0.55570837027956	-0.311821890256703	-0.542423377196531	1.27653766708165	-0.578334191371653	-0.464331403477621	0.948058000278778	0.246463850002684
"alveolar cell carcinoma cell line"	-0.605141723899144	-0.0784696210519274	0.302970709452711	0.278905587634259	-0.322925956628182	-0.406136389060453	1.07356039630686	0.365249443132442	1.13244442692157	-0.0979611800132609	1.25670108014771	0.629950278089655	-0.442182849756597
"anaplastic carcinoma cell line"	-0.0854803984125066	1.45458903109612	0.0028918377001547	1.17211056576607	0.306147485924178	1.21833212844912	1.55931333285297	0.387654219085614	-0.197174186958764	1.06640332662987	0.0574732542809926	-0.396925737438806	-0.901809509333652
"anaplastic large cell lymphoma cell line"	-1.18116902495131	-0.802481788359896	2.17898951945234	-0.398767504999058	-0.956269613078625	-0.272081789645157	-0.706842523130334	-1.21090627129618	-0.346673329285418	-0.766108593743637	-0.0183811686527131	1.08736676285167	0.672067007342587
"anaplastic squamous cell carcinoma cell line"	-0.277321580347252	1.1823376916479	0.278407999489524	1.28597307339052	-0.401261380225426	-0.954437132553234	1.33855409767541	0.161801981961913	-0.305290333252105	-0.596181267174253	1.18282976672348	0.454566286089441	-0.401191153797794
"argyrophil small cell carcinoma cell line"	-0.081557020654691	0.151519613623713	0.0102900444950252	0.899863986325046	-0.148871853258776	0.734617417892049	1.28896532887703	0.614348825629812	0.703261676704237	0.244821719954545	-0.118782649183299	-0.3158277017271	-0.349167048574479
"astrocytoma cell line"	-0.127947039263101	1.0884901324836	-1.42213595871428	0.546908481995351	0.568151636302246	0.607870764426635	1.4526058760915	0.750444516111801	0.136717556670683	1.14905521686151	0.210861730233318	-0.168748782166192	-0.989465745987697
"b cell line"	-0.922501622051729	-0.668122690379619	0.365307890041101	0.771124873184899	-1.0840849805971	-0.464563328419828	-0.643367231407772	-0.124905234192989	-0.19909970046266	-0.017388950454899	0.600307667117152	1.09642770394162	0.0308536253218637
"basal cell carcinoma cell line"	0.899240850517177	-0.712657431105911	-0.96716784271544	-0.470634276833956	0.408723411313389	0.944706107681949	0.11326244199606	-0.272186617526849	-0.486224046450027	0.295639626218985	-0.339812177723885	0.100597005412167	-0.0717728278938767
"bile duct carcinoma cell line"	-1.16536353596667	-0.0671665207343646	0.705441825911363	-0.524628287635953	-0.50537274889607	-0.211354705802783	-0.0311824270369616	-0.364444431886701	0.21653992409809	0.0903637162225212	-0.100742287585069	0.551424552282787	0.173740635290299
"biphenotypic b myelomonocytic leukemia cell line"	-0.899221294284314	0.427919501527416	0.431156511958513	0.975301768594099	-1.3056268727279	-0.121925345260362	0.017558104669758	-0.0998101241814279	-0.118633467590103	-0.706708373403767	0.575447218163662	0.720224603269541	0.111504482053853
